country,iso2,iso3,indicator_used,unit,cts_code,industry,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Accomodation and food services,0.141,0.194,0.195,0.187,0.189,0.211,0.23,0.224,0.204,0.176,0.159,0.162,0.193,0.218,0.324,0.386,0.429,0.446,0.492,0.579,0.54,0.65,0.784,0.852
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Administrative and support services,0.532,0.481,0.476,0.431,0.411,0.339,0.492,0.462,0.419,0.387,0.367,0.336,0.32,0.319,0.37,0.362,0.313,0.272,0.281,0.34,0.333,0.384,0.481,0.539
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Agriculture, hunting, forestry",0.506,0.582,0.62,0.453,0.392,0.323,0.389,0.398,0.445,0.434,0.429,0.424,0.879,0.356,0.292,0.306,0.314,0.319,0.343,0.335,0.353,0.394,0.471,0.449
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Air transport,2.241,2.596,2.991,2.577,2.721,3.015,2.979,2.988,3.014,3.253,3.43,3.477,3.299,3.642,3.74,3.986,4.325,4.538,4.84,5.684,5.692,6.552,6.825,7.199
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Arts, entertainment and recreation",0.087,0.109,0.137,0.159,0.196,0.238,0.234,0.195,0.163,0.134,0.109,0.084,0.105,0.108,0.132,0.143,0.146,0.142,0.158,0.188,0.174,0.211,0.256,0.277
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Basic metals,1.694,1.766,1.854,1.549,1.594,1.722,1.548,1.363,1.566,1.685,1.49,1.776,2.077,1.997,1.697,1.316,1.247,1.26,1.607,2.027,2.031,2.309,2.13,2.209
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Chemicals and pharmaceutical products,1.631,1.29,2.678,0.954,1.723,1.565,0.725,0.54,0.583,0.543,0.55,0.612,0.591,0.584,0.561,0.523,0.449,0.39,0.316,0.474,0.569,0.549,0.654,0.464
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Coke and refined petroleum products,0.888,0.84,0.867,1.072,1.02,0.647,0.759,1.049,1.1,1.17,0.893,0.776,0.499,0.415,0.729,0.552,0.376,0.445,0.55,0.601,0.981,1.214,1.17,0.949
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Computer, electronic and optical products",0.077,0.045,0.09,0.152,0.452,0.687,0.407,0.22,0.342,0.351,0.398,0.383,0.372,0.51,0.46,0.483,0.496,0.454,0.467,0.499,0.579,0.62,0.667,0.606
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Construction,0.862,0.886,1.002,0.95,1.096,1.068,1.067,1.104,1.078,1.124,1.135,0.876,1.903,1.758,1.656,1.502,1.437,1.338,1.417,1.436,1.513,1.732,1.874,1.89
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Education,0.078,0.1,0.126,0.153,0.196,0.225,0.244,0.249,0.244,0.232,0.241,0.247,0.203,0.233,0.283,0.314,0.327,0.326,0.353,0.403,0.387,0.452,0.526,0.57
