country,iso2,iso3,indicator_used,unit,cts_code,sector,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Accommodation and food services,300.822061,745.2194822,779.4573113,389.0162687,344.9649435,378.0334614,534.3730055,927.5316698,779.8509638,704.3196699,813.2396249,1187.96479
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Agriculture, forestry and fishing",117.8550579,187.7893328,115.0784213,106.3545951,82.23087713,176.6638541,201.8047194,213.9660788,235.1079027,216.244946,136.3344084,113.4486748
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Arts, entertainment, recreation and other service activities",92.33922785,210.3622933,247.2387191,144.369316,147.636788,168.1791097,233.6003853,293.5305032,271.0817259,274.0178227,342.7371995,1978.780861
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Basic metals,3.849316616,38.79422625,31.14188644,36.37911205,28.21773481,44.12235968,59.76391741,67.69017702,41.36996427,61.70421614,78.28968306,77.07163978
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Chemicals and pharmaceutical products,34.97580664,69.45266654,57.92948177,61.35629543,61.83910109,148.6631906,126.4434094,221.7047004,173.896746,118.5917628,90.69534842,78.76884408
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Coke and refined petroleum products,121.8347592,163.8933601,140.6341172,122.9656474,49.55131432,89.04025145,64.13831129,110.7474643,174.0340115,85.53465192,117.033584,63.96307795
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Computer, electronic and optical products",229.8880394,562.484341,193.2934174,327.6733696,329.5902656,451.4623419,344.1748933,580.1022371,696.055919,832.6683175,847.9298629,1116.664934
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Education,19.34639388,37.09311332,53.70081042,30.59025297,26.49953619,29.84652462,40.80995298,67.23348359,63.85795741,62.09596714,66.9041622,109.1329179
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Electrical equipment,562.110941,573.6258142,326.0631427,499.9435008,580.3505364,729.6731103,522.0595882,1542.437558,1227.49725,1031.897689,939.0349458,913.7722682
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Fabricated metal products,25.68115228,49.94123588,36.51059776,29.39319827,23.60525344,54.51733944,49.40145691,59.84098597,171.6506729,130.018203,102.8907745,61.04178661
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Financial and insurance activities,18.72272845,40.40330478,33.29400301,24.84429698,38.44896206,41.42531846,55.24397223,76.18219175,50.24484373,52.26988504,101.7946035,100.4142268
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Food products, beverages and tobacco",394.790905,462.4250108,414.0058699,467.2188245,346.9131262,686.4215241,720.9414063,741.36777,713.7769635,634.3532506,576.9451171,530.0148708
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Human health and social work,12.87719942,34.83189427,47.60110565,26.12760461,21.4398289,22.84827599,31.54035721,42.31100679,56.1300095,52.86188193,50.79985093,45.93184013
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,IT and other information services,5.245055532,18.94689621,45.03157012,89.45423539,86.73378802,116.172842,138.3876639,110.114993,202.8411183,153.3110857,147.5703976,260.4193516
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Machinery and equipment, nec",59.20734673,40.0790229,93.46494734,91.23274594,98.65110715,142.1668315,124.5653133,81.58682234,250.7919495,265.7767085,304.6277094,268.4716293
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Mining and quarrying,6.710403225,6.581588793,15.65528958,11.27381521,5.798394203,11.06812245,17.43897778,25.08248649,32.60722787,23.43894916,17.79519206,25.27669453
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Motor vehicles, trailers and semi-trailers",610.4514171,895.3238123,342.1035448,482.2719005,449.7225223,857.8680637,670.2615109,406.5604031,569.5755319,433.0026464,430.2515721,414.0172389
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Other business sector services,81.03988431,242.4854402,243.2983198,302.415661,413.3865075,501.3910192,589.3979973,677.3257503,731.4488829,810.0787763,961.0177317,996.836338
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Other manufacturing, repair and installation of machinery and equipment",726.3950521,811.0838977,812.7120547,876.9581306,927.1432373,1609.891503,1886.187535,1836.330491,1945.624053,1994.677557,2780.078493,1817.022094
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Other non-metallic mineral products,96.16482524,220.6689727,52.63358478,33.84444327,27.10689648,35.95058543,25.05121302,48.36122679,40.44521167,54.36934398,13.26460844,13.07112265
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Other transport equipment,221.3321361,254.3832072,147.9544991,171.9787618,384.3470371,298.6537185,347.1748619,864.2072708,323.5576527,646.98681,837.0761019,700.6467412
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Paper products and printing,29.41077197,47.40835867,45.14230528,36.54391317,30.75942513,43.83602464,43.78596592,48.9381988,42.81161273,55.26033483,37.42511936,38.01866039
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Publishing, audiovisual and broadcasting activities",5.449951999,12.84216526,14.32965862,8.251281755,6.6377486,7.20514819,9.693104365,14.35467508,10.89344602,10.00493663,10.40868307,11.86323679
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Real estate activities,48.91518595,148.3651658,146.9203157,104.9217461,125.4166542,152.8124169,181.439073,116.027349,165.1981805,175.0697023,260.488442,349.7483937
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Rubber and plastic products,42.16195776,66.66784721,57.88791599,78.71978269,70.84981,125.5160257,105.122422,306.148176,85.737165,81.95513109,82.93149225,101.7468669
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Telecommunications,170.4577545,225.7417078,204.228253,221.6208094,202.5391459,213.9053589,382.4307019,1078.531183,308.8520193,364.3013205,251.9579303,248.4871468
